DyadId,ConflictId,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,Year,IntensityLevel,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version
665,1-Aug,Israel,Government of United Kingdom,,IZL [Etzel],1007,,1,Israel,1946,1,1,31/03/1939,4,31/12/1946,5,200,,,,666,2,1.0-2016
483,14-Jan,Russia,Government of Russia,,UPA,1016,,1,Ukraine,1950,1,3,31/12/1941,5,31/12/1946,5,365,,,,365,1,1.0-2016
483,14-Jan,Russia,Government of Russia,,UPA,1016,,1,Ukraine,1949,1,3,31/12/1941,5,31/12/1946,5,365,,,,365,1,1.0-2016
483,14-Jan,Russia,Government of Russia,,UPA,1016,,1,Ukraine,1948,2,3,31/12/1941,5,31/12/1946,5,365,,,,365,1,1.0-2016
483,14-Jan,Russia,Government of Russia,,UPA,1016,,1,Ukraine,1947,2,3,31/12/1941,5,31/12/1946,5,365,,,,365,1,1.0-2016
483,14-Jan,Russia,Government of Russia,,UPA,1016,,1,Ukraine,1946,2,3,31/12/1941,5,31/12/1946,5,365,,,,365,1,1.0-2016
478,1-Nov,Russia,Government of Russia,,Forest Brothers,1012,,1,Estonia,1948,1,3,31/12/1944,6,31/12/1946,5,365,,,,365,1,1.0-2016
478,1-Nov,Russia,Government of Russia,,Forest Brothers,1012,,1,Estonia,1947,1,3,31/12/1944,6,31/12/1946,5,365,,,,365,1,1.0-2016
478,1-Nov,Russia,Government of Russia,,Forest Brothers,1012,,1,Estonia,1946,1,3,31/12/1944,6,31/12/1946,5,365,,,,365,1,1.0-2016
657,1-May,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1949,1,1,13/10/1945,2,31/12/1946,5,210,,,,850,3,1.0-2016
657,1-May,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1948,1,1,13/10/1945,2,31/12/1946,5,210,,,,850,3,1.0-2016
657,1-May,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1947,1,1,13/10/1945,2,31/12/1946,5,210,,,,850,3,1.0-2016
657,1-May,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1946,1,1,13/10/1945,2,31/12/1946,5,210,,,,850,3,1.0-2016
468,1-Jul,Iran,Government of Iran,,Republic of Azerbaijan,1006,Government of Russia,1,Azerbaijan,1946,1,4,19/11/1945,1,16/12/1946,1,630,,,365,630,2,1.0-2016
479,1-Dec,Russia,Government of Russia,,LTS(p)A,1014,,1,Latvia,1946,1,3,31/12/1945,5,31/12/1946,5,365,,,,365,1,1.0-2016
481,1-Dec,Russia,Government of Russia,,LNPA,1013,,1,Latvia,1946,1,3,31/12/1945,5,31/12/1946,5,365,,,,365,1,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1953,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1952,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1951,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1950,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
467,1-Apr,Greece,Government of Greece,,DSE,1003,,2,,1949,2,3,31/03/1946,4,31/03/1946,4,350,,,,350,1,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1949,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
467,1-Apr,Greece,Government of Greece,,DSE,1003,,2,,1948,2,3,31/03/1946,4,31/03/1946,4,350,,,,350,1,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1948,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
467,1-Apr,Greece,Government of Greece,,DSE,1003,,2,,1947,2,3,31/03/1946,4,31/03/1946,4,350,,,,350,1,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1947,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
467,1-Apr,Greece,Government of Greece,,DSE,1003,,2,,1946,2,3,31/03/1946,4,31/03/1946,4,350,,,,350,1,1.0-2016
666,1-Sep,Laos,Government of France,,Lao Issara,1008,,1,Laos,1946,1,1,31/03/1946,4,31/03/1946,4,220,,,,812,3,1.0-2016
484,15-Jan,"France, Thailand",Government of France,,Government of Thailand,800,,1,Northern Cambodia,1946,1,2,7/5/1946,1,7/5/1946,1,220,,800,,"220, 800","1, 3",1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1996,1,3,31/05/1946,3,28/07/1996,2,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1993,1,3,31/05/1946,3,12/9/1993,2,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1990,1,3,31/05/1946,3,10/7/1990,2,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1988,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1987,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1986,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1985,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1984,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1983,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1982,2,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1981,1,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1980,2,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1979,2,3,31/05/1946,3,31/12/1979,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1968,1,3,31/05/1946,3,31/12/1966,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1967,1,3,31/05/1946,3,31/12/1966,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,,1,Kurdistan,1966,1,3,31/05/1946,3,31/12/1966,5,630,,,,630,2,1.0-2016
260,1-Jun,Iran,Government of Iran,,KDPI,1005,Government of Russia,1,Kurdistan,1946,1,4,31/05/1946,3,31/05/1946,3,630,,,365,630,2,1.0-2016
482,13-Jan,Russia,Government of Russia,,BDPS,1015,,1,Lithuania,1948,1,3,30/06/1946,4,30/06/1946,4,365,,,,365,1,1.0-2016
482,13-Jan,Russia,Government of Russia,,BDPS,1015,,1,Lithuania,1947,2,3,30/06/1946,4,30/06/1946,4,365,,,,365,1,1.0-2016
482,13-Jan,Russia,Government of Russia,,BDPS,1015,,1,Lithuania,1946,2,3,30/06/1946,4,30/06/1946,4,365,,,,365,1,1.0-2016
462,1-Jan,Bolivia,Government of Bolivia,,Popular Revolutionary Movement,1580,,2,,1946,2,3,18/07/1946,1,21/07/1946,2,145,,,,145,5,1.0-2016
469,1-Oct,Philippines,Government of Philippines,,Huk,1009,,2,,1954,2,3,31/07/1946,4,31/07/1946,4,840,,,,840,3,1.0-2016
